Language,Semantics,Utility,Context,Utterance,Probability,UtteranceSpace,NounNoise
French,Discrete,Global,2A,pin blue,0.003,full,0.99
French,Discrete,Global,2A,small pin blue,0.499,full,0.99
Vietnamese,Discrete,Global,2A,pin,0,full,0.99
Vietnamese,Discrete,Global,2A,pin small,0.333,full,0.99
Vietnamese,Discrete,Global,2A,pin blue,0.002,full,0.99
Vietnamese,Discrete,Global,2A,pin small and blue,0.333,full,0.99
Vietnamese,Discrete,Global,2A,pin blue and small,0.333,full,0.99
English,Discrete,Global,2B,pin,0,full,0.99
English,Discrete,Global,2B,small pin,0.003,full,0.99
English,Discrete,Global,2B,blue pin,0.499,full,0.99
English,Discrete,Global,2B,small blue pin,0.499,full,0.99
Spanish,Discrete,Global,2B,pin,0,full,0.99
Spanish,Discrete,Global,2B,pin small,0.003,full,0.99
Spanish,Discrete,Global,2B,pin blue,0.499,full,0.99
Spanish,Discrete,Global,2B,pin blue small,0.499,full,0.99
French,Discrete,Global,2B,pin,0,full,0.99
French,Discrete,Global,2B,small pin,0.003,full,0.99
French,Discrete,Global,2B,pin blue,0.499,full,0.99
French,Discrete,Global,2B,small pin blue,0.499,full,0.99
Vietnamese,Discrete,Global,2B,pin,0,full,0.99
Vietnamese,Discrete,Global,2B,pin small,0.002,full,0.99
Vietnamese,Discrete,Global,2B,pin blue,0.333,full,0.99
Vietnamese,Discrete,Global,2B,pin small and blue,0.333,full,0.99
Vietnamese,Discrete,Global,2B,pin blue and small,0.333,full,0.99
English,Discrete,Global,3A,pin,0.25,full,0.99
English,Discrete,Global,3A,small pin,0.25,full,0.99
English,Discrete,Global,3A,blue pin,0.25,full,0.99
English,Discrete,Global,3A,small blue pin,0.25,full,0.99
Spanish,Discrete,Global,3A,pin,0.25,full,0.99
Spanish,Discrete,Global,3A,pin small,0.25,full,0.99
Spanish,Discrete,Global,3A,pin blue,0.25,full,0.99
Spanish,Discrete,Global,3A,pin blue small,0.25,full,0.99
French,Discrete,Global,3A,pin,0.25,full,0.99
French,Discrete,Global,3A,small pin,0.25,full,0.99
French,Discrete,Global,3A,pin blue,0.25,full,0.99
French,Discrete,Global,3A,small pin blue,0.25,full,0.99
Vietnamese,Discrete,Global,3A,pin,0.2,full,0.99
Vietnamese,Discrete,Global,3A,pin small,0.2,full,0.99
Vietnamese,Discrete,Global,3A,pin blue,0.2,full,0.99
Vietnamese,Discrete,Global,3A,pin small and blue,0.2,full,0.99
Vietnamese,Discrete,Global,3A,pin blue and small,0.2,full,0.99
English,Discrete,Global,4,pin,0,full,0.99
English,Discrete,Global,4,small pin,0.333,full,0.99
English,Discrete,Global,4,blue pin,0.333,full,0.99
English,Discrete,Global,4,small blue pin,0.333,full,0.99
Spanish,Discrete,Global,4,pin,0,full,0.99
Spanish,Discrete,Global,4,pin small,0.333,full,0.99
Spanish,Discrete,Global,4,pin blue,0.333,full,0.99
Spanish,Discrete,Global,4,pin blue small,0.333,full,0.99
French,Discrete,Global,4,pin,0,full,0.99
French,Discrete,Global,4,small pin,0.333,full,0.99
French,Discrete,Global,4,pin blue,0.333,full,0.99
French,Discrete,Global,4,small pin blue,0.333,full,0.99
Vietnamese,Discrete,Global,4,pin,0,full,0.99
Vietnamese,Discrete,Global,4,pin small,0.25,full,0.99
Vietnamese,Discrete,Global,4,pin blue,0.25,full,0.99
Vietnamese,Discrete,Global,4,pin small and blue,0.25,full,0.99
Vietnamese,Discrete,Global,4,pin blue and small,0.25,full,0.99
English,Discrete,Incremental,1A,pin,0,full,0.99
English,Discrete,Incremental,1A,small pin,0.496,full,0.99
English,Discrete,Incremental,1A,blue pin,0.008,full,0.99
English,Discrete,Incremental,1A,small blue pin,0.496,full,0.99
Spanish,Discrete,Incremental,1A,pin,0,full,0.99
Spanish,Discrete,Incremental,1A,pin small,0.992,full,0.99
Spanish,Discrete,Incremental,1A,pin blue,0,full,0.99
Spanish,Discrete,Incremental,1A,pin blue small,0.008,full,0.99
French,Discrete,Incremental,1A,pin,0,full,0.99
French,Discrete,Incremental,1A,small pin,0.5,full,0.99
French,Discrete,Incremental,1A,pin blue,0,full,0.99
French,Discrete,Incremental,1A,small pin blue,0.5,full,0.99
Vietnamese,Discrete,Incremental,1A,pin,0,full,0.99
Vietnamese,Discrete,Incremental,1A,pin small,0.496,full,0.99
Vietnamese,Discrete,Incremental,1A,pin blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,1A,pin small and blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,1A,pin blue and small,0.004,full,0.99
English,Discrete,Incremental,1B,pin,0,full,0.99
English,Discrete,Incremental,1B,small pin,0,full,0.99
English,Discrete,Incremental,1B,blue pin,0.992,full,0.99
English,Discrete,Incremental,1B,small blue pin,0.008,full,0.99
Spanish,Discrete,Incremental,1B,pin,0,full,0.99
Spanish,Discrete,Incremental,1B,pin small,0.008,full,0.99
Spanish,Discrete,Incremental,1B,pin blue,0.496,full,0.99
Spanish,Discrete,Incremental,1B,pin blue small,0.496,full,0.99
French,Discrete,Incremental,1B,pin,0,full,0.99
French,Discrete,Incremental,1B,small pin,0.007,full,0.99
French,Discrete,Incremental,1B,pin blue,0.055,full,0.99
French,Discrete,Incremental,1B,small pin blue,0.937,full,0.99
Vietnamese,Discrete,Incremental,1B,pin,0,full,0.99
Vietnamese,Discrete,Incremental,1B,pin small,0.004,full,0.99
Vietnamese,Discrete,Incremental,1B,pin blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,1B,pin small and blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,1B,pin blue and small,0.496,full,0.99
English,Discrete,Incremental,2A,pin,0.052,full,0.99
English,Discrete,Incremental,2A,small pin,0.888,full,0.99
English,Discrete,Incremental,2A,blue pin,0.052,full,0.99
English,Discrete,Incremental,2A,small blue pin,0.007,full,0.99
Spanish,Discrete,Incremental,2A,pin,0,full,0.99
Spanish,Discrete,Incremental,2A,pin small,0.992,full,0.99
Spanish,Discrete,Incremental,2A,pin blue,0,full,0.99
Spanish,Discrete,Incremental,2A,pin blue small,0.008,full,0.99
French,Discrete,Incremental,2A,pin,0.003,full,0.99
French,Discrete,Incremental,2A,small pin,0.472,full,0.99
French,Discrete,Incremental,2A,pin blue,0.052,full,0.99
French,Discrete,Incremental,2A,small pin blue,0.472,full,0.99
Vietnamese,Discrete,Incremental,2A,pin,0,full,0.99
Vietnamese,Discrete,Incremental,2A,pin small,0.496,full,0.99
Vietnamese,Discrete,Incremental,2A,pin blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,2A,pin small and blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,2A,pin blue and small,0.004,full,0.99
English,Discrete,Incremental,2B,pin,0.052,full,0.99
English,Discrete,Incremental,2B,small pin,0.026,full,0.99
English,Discrete,Incremental,2B,blue pin,0.895,full,0.99
English,Discrete,Incremental,2B,small blue pin,0.026,full,0.99
Spanish,Discrete,Incremental,2B,pin,0,full,0.99
Spanish,Discrete,Incremental,2B,pin small,0.008,full,0.99
Spanish,Discrete,Incremental,2B,pin blue,0.496,full,0.99
Spanish,Discrete,Incremental,2B,pin blue small,0.496,full,0.99
French,Discrete,Incremental,2B,pin,0,full,0.99
French,Discrete,Incremental,2B,small pin,0.004,full,0.99
French,Discrete,Incremental,2B,pin blue,0.5,full,0.99
French,Discrete,Incremental,2B,small pin blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,2B,pin,0,full,0.99
Vietnamese,Discrete,Incremental,2B,pin small,0.004,full,0.99
Vietnamese,Discrete,Incremental,2B,pin blue,0.496,full,0.99
Vietnamese,Discrete,Incremental,2B,pin small and blue,0.004,full,0.99
Vietnamese,Discrete,Incremental,2B,pin blue and small,0.496,full,0.99
English,Discrete,Incremental,3A,pin,0.5,full,0.99
English,Discrete,Incremental,3A,small pin,0,full,0.99
English,Discrete,Incremental,3A,blue pin,0.5,full,0.99
English,Discrete,Incremental,3A,small blue pin,0,full,0.99
Spanish,Discrete,Incremental,3A,pin,0.333,full,0.99
Spanish,Discrete,Incremental,3A,pin small,0.333,full,0.99
Spanish,Discrete,Incremental,3A,pin blue,0.167,full,0.99
Spanish,Discrete,Incremental,3A,pin blue small,0.167,full,0.99
French,Discrete,Incremental,3A,pin,0.5,full,0.99
French,Discrete,Incremental,3A,small pin,0,full,0.99
French,Discrete,Incremental,3A,pin blue,0.5,full,0.99
French,Discrete,Incremental,3A,small pin blue,0,full,0.99
Vietnamese,Discrete,Incremental,3A,pin,0.333,full,0.99
Vietnamese,Discrete,Incremental,3A,pin small,0.167,full,0.99
Vietnamese,Discrete,Incremental,3A,pin blue,0.167,full,0.99
Vietnamese,Discrete,Incremental,3A,pin small and blue,0.167,full,0.99
Vietnamese,Discrete,Incremental,3A,pin blue and small,0.167,full,0.99
English,Discrete,Incremental,4,pin,0,full,0.99
English,Discrete,Incremental,4,small pin,0.25,full,0.99
English,Discrete,Incremental,4,blue pin,0.5,full,0.99
English,Discrete,Incremental,4,small blue pin,0.25,full,0.99
Spanish,Discrete,Incremental,4,pin,0,full,0.99
Spanish,Discrete,Incremental,4,pin small,0.5,full,0.99
Spanish,Discrete,Incremental,4,pin blue,0.25,full,0.99
Spanish,Discrete,Incremental,4,pin blue small,0.25,full,0.99
French,Discrete,Incremental,4,pin,0,full,0.99
French,Discrete,Incremental,4,small pin,0.5,full,0.99
French,Discrete,Incremental,4,pin blue,0,full,0.99
French,Discrete,Incremental,4,small pin blue,0.5,full,0.99
Vietnamese,Discrete,Incremental,4,pin,0,full,0.99
Vietnamese,Discrete,Incremental,4,pin small,0.25,full,0.99
Vietnamese,Discrete,Incremental,4,pin blue,0.25,full,0.99
Vietnamese,Discrete,Incremental,4,pin small and blue,0.25,full,0.99
Vietnamese,Discrete,Incremental,4,pin blue and small,0.25,full,0.99
English,Continuous,Global,3B,pin,0.558,full,0.99
English,Continuous,Global,3B,small pin,0.068,full,0.99
English,Continuous,Global,3B,blue pin,0.33,full,0.99
English,Continuous,Global,3B,small blue pin,0.043,full,0.99
Spanish,Continuous,Global,3B,pin,0.558,full,0.99
Spanish,Continuous,Global,3B,pin small,0.068,full,0.99
Spanish,Continuous,Global,3B,pin blue,0.33,full,0.99
Spanish,Continuous,Global,3B,pin blue small,0.043,full,0.99
French,Continuous,Global,3B,pin,0.558,full,0.99
French,Continuous,Global,3B,small pin,0.068,full,0.99
French,Continuous,Global,3B,pin blue,0.33,full,0.99
French,Continuous,Global,3B,small pin blue,0.043,full,0.99
Vietnamese,Continuous,Global,3B,pin,0.535,full,0.99
Vietnamese,Continuous,Global,3B,pin small,0.065,full,0.99
Vietnamese,Continuous,Global,3B,pin blue,0.317,full,0.99
Vietnamese,Continuous,Global,3B,pin small and blue,0.041,full,0.99
Vietnamese,Continuous,Global,3B,pin blue and small,0.041,full,0.99
English,Discrete,Global,3B,pin,0.25,full,0.99
English,Discrete,Global,3B,small pin,0.25,full,0.99
English,Discrete,Global,3B,blue pin,0.25,full,0.99
English,Discrete,Global,3B,small blue pin,0.25,full,0.99
Spanish,Discrete,Global,3B,pin,0.25,full,0.99
Spanish,Discrete,Global,3B,pin small,0.25,full,0.99
Spanish,Discrete,Global,3B,pin blue,0.25,full,0.99
Spanish,Discrete,Global,3B,pin blue small,0.25,full,0.99
French,Discrete,Global,3B,pin,0.25,full,0.99
French,Discrete,Global,3B,small pin,0.25,full,0.99
French,Discrete,Global,3B,pin blue,0.25,full,0.99
French,Discrete,Global,3B,small pin blue,0.25,full,0.99
Vietnamese,Discrete,Global,3B,pin,0.2,full,0.99
Vietnamese,Discrete,Global,3B,pin small,0.2,full,0.99
Vietnamese,Discrete,Global,3B,pin blue,0.2,full,0.99
Vietnamese,Discrete,Global,3B,pin small and blue,0.2,full,0.99
Vietnamese,Discrete,Global,3B,pin blue and small,0.2,full,0.99
English,Continuous,Incremental,3B,pin,0.461,full,0.99
English,Continuous,Incremental,3B,small pin,0.269,full,0.99
English,Continuous,Incremental,3B,blue pin,0,full,0.99
English,Continuous,Incremental,3B,small blue pin,0.269,full,0.99
Spanish,Continuous,Incremental,3B,pin,0.309,full,0.99
Spanish,Continuous,Incremental,3B,pin small,0.361,full,0.99
Spanish,Continuous,Incremental,3B,pin blue,0.152,full,0.99
Spanish,Continuous,Incremental,3B,pin blue small,0.178,full,0.99
French,Continuous,Incremental,3B,pin,0.231,full,0.99
French,Continuous,Incremental,3B,small pin,0.269,full,0.99
French,Continuous,Incremental,3B,pin blue,0.231,full,0.99
French,Continuous,Incremental,3B,small pin blue,0.269,full,0.99
Vietnamese,Continuous,Incremental,3B,pin,0.309,full,0.99
Vietnamese,Continuous,Incremental,3B,pin small,0.18,full,0.99
