gameId,roundNumber,condition,BDASize,BDAColor,BDAOtherColor,BDAItem,redBDAUtterance
o9ajiSJQsC87WWPMG,4,color43,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,11,color43,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,19,color43,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,32,color43,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,15,color43,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,67,color43,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,28,color43,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,50,color43,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,48,color43,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,62,color43,size,color,othercolor,item,color
89kCaivgGxt9As4s5,32,color43,size,color,othercolor,item,color
89kCaivgGxt9As4s5,55,color43,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,14,color43,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,28,color43,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,48,color43,size,color,othercolor,item,color
9xQZnMmmLAedmSnpb,69,color43,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,13,color43,size,color,othercolor,item,color
KchWPEsJ7AK6yb5ab,23,color43,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,45,color43,size,color,othercolor,item,color
6iNLyBqiCFSzy3vxQ,57,color43,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,6,color44,size,color,othercolor,item,color
TXdqz7vwbJSeKpJHS,61,color44,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,43,color44,size,color,othercolor,item,color
g8tXfbQJ5w3Yo5kXq,71,color44,size,color,othercolor,item,color
Drac2QY2EJGirNSty,57,color44,size,color,othercolor,item,color
Drac2QY2EJGirNSty,66,color44,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,35,color44,size,color,othercolor,item,color
ncA5wQm2wMWx6Qw4m,58,color44,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,22,color44,size,color,othercolor,item,color
RdyH6CPjXhDjFiBn6,60,color44,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,19,color44,size,color,othercolor,item,color
ri9WkdRrTvaRgjAbd,29,color44,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,1,color44,size,color,othercolor,item,color
xiA5WJQ9BBwufErLv,63,color44,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,13,color44,size,color,othercolor,item,color
8mztCuTtp44PNj9aR,23,color44,size,color,othercolor,item,color
C9425wL5d2jqqrfnt,30,color44,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,19,color44,size,color,othercolor,item,color
PLenL62JMPMEiyEZd,41,color44,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,4,color44,size,color,othercolor,item,color
5FBHB2gcEAxFrnBTj,35,color44,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,17,color44,size,color,othercolor,item,color
krPu8jL2ifeQiJtiz,60,color44,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,31,color44,size,color,othercolor,item,color
L3TwC8ZM9Kcs7QBx4,36,color44,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,51,color44,size,color,othercolor,item,color
o9ajiSJQsC87WWPMG,52,color44,size,color,othercolor,item,color
w2fzmfuovTcBBykSN,3,color44,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,30,color44,size,color,othercolor,item,color
s4qdZmttuex8PYHYK,60,color44,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,27,color44,size,color,othercolor,item,color
S7FpNmQk9XcQXJHTf,63,color44,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,61,color44,size,color,othercolor,item,color
ZdgvjcuMKtwGjydbR,71,color44,size,color,othercolor,item,color
89kCaivgGxt9As4s5,37,color44,size,color,othercolor,item,color
89kCaivgGxt9As4s5,52,color44,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,16,color44,size,color,othercolor,item,color
KkMmp5urRFWCQh3Hb,47,color44,size,color,othercolor,item,color
mJWL79uZrXh3YMtMs,19,color44,size,color,othercolor,item,color
