gameid,speakerName,language,roundNum,condition,targetName,correct,gloss,colorMention,sizeMention,UtteranceType,onlyColorMention,onlySizeMention,colorsizeMention,RedundantProperty,SufficientProperty,RedExp3Cat,RedExp2Cat,redundant
9173-1,bayramamca,CTSL,59,"color 
 sufficient",lock_big_gold,1,point(yellow) lock lock,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
9173-1,bayramamca,CTSL,60,"size 
 sufficient",knife_small_blue,1,point(blue) knife small small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,7,"color 
 sufficient",umbrella_small_blue,1,umbrella blue,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,11,"size 
 sufficient",apple_big_green,1,"green apple, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,12,"size 
 sufficient",balloon_big_yellow,1,yellow baloon big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,13,"color 
 sufficient",tshirt_big_yellow,1,yellow tshirt,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,15,"color 
 sufficient",tie_big_blue,1,blue tie,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,17,"size 
 sufficient",brush_big_blue,1,"blue brush, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,18,"size 
 sufficient",car_big_green,1,"green, big",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,21,"color 
 sufficient",socks_small_blue,1,blue socks small,1,1,color and size,0,0,1,size,color,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,22,"color 
 sufficient",toothbrush_big_green,1,green brush,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,23,"size 
 sufficient",flower_small_yellow,1,"yellow flower, small",1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,26,"size 
 sufficient",cat_small_white,1,white cat small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,30,"color 
 sufficient",scissors_big_green,1,"green, green scissors",1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,31,"size 
 sufficient",glove_big_green,1,glove big green,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,32,"size 
 sufficient",chair_big_yellow,1,yellow chair big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,33,"size 
 sufficient",clock_small_purple,1,purple small,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,34,"color 
 sufficient",lock_small_gold,1,yellow lock,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
5101-0,Bülent(türkçe),Turkish,35,"size 
 sufficient",dress_big_blue,1,blue dress big,1,1,color and size,0,0,1,color,size,redundant,redundant,1
5101-0,Bülent(türkçe),Turkish,36,"color 
 sufficient",lighter_small_white,1,white lighter,1,0,only color,1,0,0,size,color,minimal,not_redundant,0
