"","gameid","roundNum","condition","targetName","gloss","pos_sequence","mouthing","pointing","notes","language","attempt","pos"
"175","9458-d",20,"size_sufficient","dress_small_green","dress small dress point(screen), think not, point(green), small","noun size noun loc, verb2 neg, color, size","small","1",NA,"CTSL","attempt1","noun size noun loc"
"176","9458-d",21,"size_sufficient","baloon_small_pink","baloon small","noun size",NA,"0",NA,"CTSL","attempt1","noun size"
"177","9458-d",26,"color_sufficient","umbrella_small_green","umbrella rain umbrella, point(green)","noun noun2 noun, color",NA,"1",NA,"CTSL","attempt1","noun noun2 noun"
"178","9458-d",28,"color_sufficient","pepper_big_red","point(red)","color",NA,"1",NA,"CTSL","attempt1","color"
"179","9458-d",29,"size_sufficient","car_big_green","point(green) big","color size",NA,"1",NA,"CTSL","attempt1","color size"
"180","9458-d",31,"color_sufficient","socks_small_blue","point(blue)","color",NA,"1",NA,"CTSL","attempt1","color"
"181","9458-d",33,"size_sufficient","ball_small_purple","small point(blue)","size color",NA,"1",NA,"CTSL","attempt1","size color"
"182","9458-d",35,"size_sufficient","chair_big_blue","point(blue) chair big","color noun size",NA,"1",NA,"CTSL","attempt1","color noun size"
"183","9458-d",36,"size_sufficient","knife_small_red","point(red) knife small, point(red)","color noun size, color",NA,"1",NA,"CTSL","attempt1","color noun size"
"184","9458-d",37,"size_sufficient","bag_big_red","point(red) big bag","color size noun",NA,"1",NA,"CTSL","attempt1","color size noun"
"185","9458-d",40,"size_sufficient","apple_big_red","apple big","noun size",NA,"0",NA,"CTSL","attempt1","noun size"
"186","9458-d",41,"color_sufficient","pot_small_green","flames pot, point(blue)","noun2 noun, color",NA,"1",NA,"CTSL","attempt1","noun2 noun"
"187","9458-d",44,"color_sufficient","skirt_small_blue","skirt point(blue)","noun color",NA,"1",NA,"CTSL","attempt1","noun color"
"188","9458-d",45,"size_sufficient","clock_big_yellow","clock clock big small not big, point(green)","noun noun size size2 neg size, color",NA,"0",NA,"CTSL","attempt1","noun noun size size2 neg size"
